AmsterdamseCode,CbsCode,RegioNaam,GeldigeStemmen,OngeldigeBlancoStemmen,Kiesgerechtigden,Opkomst,PvdA,CDA,VVD,D66,PSP,SGP,CPN,PPR,RPF,CP,GPV,Evangelische Volkspartij,SP,DS70,Rechtse Volkspartij,Rooms Katholieke Partij Nederland,God Met Ons,NVU,Progressieve Partij voor Behoud van Milieu, Werk en Maatschappij,Kleine Partij
11190,143,Avereest,8368,33,9673,8401,2004,3569,1705,308,65,66,30,67,258,16,113,70,21,21,47,8,0,0,0,0
11289,650,Axel,6708,44,8458,6752,1770,2161,1446,263,80,111,33,55,70,19,593,41,19,12,16,19,0,0,0,0
10422,61,Baarderadeel,3166,10,3562,3176,1229,779,844,116,58,0,17,50,15,3,11,16,13,8,7,0,0,0,0,0
10060,744,Baarle-Nassau,3159,20,3933,3179,451,1769,677,123,40,2,11,36,12,1,3,3,13,6,4,7,1,0,0,0
11411,308,Baarn,14949,64,18102,15013,3631,3836,5026,626,395,202,133,293,339,76,84,142,69,50,30,17,0,0,0,0
11255,886,Baexem,1374,4,1593,1378,166,849,268,52,13,0,5,12,0,1,0,0,0,3,2,2,1,0,0,0
10539,4,Baflo,1876,4,2072,1880,568,651,343,50,42,2,16,39,25,1,97,27,7,4,4,0,0,0,0,0
10749,745,Bakel en Milheeze,3968,20,5137,3988,589,2482,603,111,63,1,24,41,4,6,1,8,7,4,16,6,2,0,0,0
10943,489,Barendrecht,11326,27,12998,11353,2408,3270,3213,526,124,771,57,138,358,117,95,165,18,42,19,5,0,0,0,0
10906,203,Barneveld,21704,54,24795,21758,2354,8220,4740,461,98,3518,49,151,1480,66,128,272,35,32,85,5,10,0,0,0
10156,62,Barradeel,4086,19,4691,4105,1098,1925,660,94,29,8,26,27,101,8,35,42,6,13,7,7,0,0,0,0
10973,369,Barsingerhorn,2170,9,2659,2179,984,243,674,74,60,5,56,33,9,17,1,1,3,6,3,1,0,0,0,0
10921,204,Batenburg,360,2,422,362,69,193,49,10,8,0,2,14,2,0,0,0,8,1,2,2,0,0,0,0
11030,144,Bathmen,3194,8,3557,3202,817,738,1282,207,33,0,10,35,11,3,8,21,5,7,16,1,0,0,0,0
10425,5,Bedum,6157,21,6730,6178,1500,2292,845,221,65,14,44,84,150,8,773,119,16,7,16,3,0,0,0,0
11089,887,Beegden,972,6,1213,978,210,440,211,56,21,0,4,12,0,3,0,0,6,4,2,3,0,0,0,0
11374,888,Beek,9206,77,11809,9283,2173,3625,2307,509,157,3,56,168,16,22,1,11,28,39,31,34,26,0,0,0
10173,746,Beek en Donk,4602,17,5944,4619,928,2313,779,199,74,2,121,100,2,15,0,3,21,15,20,6,4,0,0,0
10816,370,Beemster,4894,28,5625,4922,1277,1226,1783,199,128,9,86,68,17,25,4,20,10,23,13,6,0,0,0,0
11410,747,Beers,1820,9,2049,1829,216,1165,269,60,35,0,3,42,1,2,0,1,12,2,7,5,0,0,0,0
